id,skill_type,name,note,ct,toughness,burst_add,burst_gain,extra_turn,trigger_type,trigger_ct_mode,self_gauge_gain,burst_gauge_gain_add,requires_evade,targets_ally,gauge_to_target,atk_pct,extra_effects_json
asera,passive,,とばり斬り使用後、会心ダメ+6%スタック(最大5)。攻撃力+15%(3凸),,,,,,,,,,,,,,
asera,basic,ストラニス式一閃,,0,0,1,0,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfStackGain"": 1}"
asera,special,とばり斬り,,3,0,1,1,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfBuff"": {""name"": ""速度アップ（+20%）"", ""turns"": 2, ""speedModPct"": 20}, ""target"": ""all""}"
asera,ultimate,夜の曙光,,4,1,1,1,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfBuff"": {""name"": ""会心率アップ（+30%）"", ""turns"": 2}, ""target"": ""all""}"
dress_asera,passive,,最大HP+15%(3凸、本ツール未実装)。味方の通常スキル使用後、洞察スタック1つにつき20%の確率で挟撃(自身の通常攻撃)が発動(最大5個で100%)。基本スキル後、最低HP味方を回復(回復量は本ツール未対応)。特殊「バル・ドレ」・究極「ルミエール・ソネット」も味方全体HP回復を伴うが回復量は本ツール未対応。究極のノヴァバースト効果「自身の強靭度1回復」も本ツール未実装,,,,,,,,,,,,,,"{""hasPincerAttack"": true, ""pincerStackPct"": 20}"
dress_asera,basic,ベル・ラーム,,0,0,1,0,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfStackGain"": 1, ""clearAllyDebuffCount"": 1, ""clearAllyDebuffBurstOnly"": true}"
dress_asera,special,バル・ドレ,,3,1,1,1,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfBuff"": {""name"": ""星灯りの願い（速度+10%/効果耐性+30%・解除不可）"", ""turns"": 2, ""speedModPct"": 10}, ""selfStackGain"": 1}"
dress_asera,ultimate,ルミエール・ソネット,,4,0,0,1,FALSE,none,hasCT,0,0,FALSE,TRUE,FALSE,,"{""teamGaugeGainPct"": 15, ""teamGaugeGainExcludeSelf"": true, ""clearAllyDebuffCount"": 2}"
roberta,passive,,攻撃時会心率+50%(ほぼ無条件)。HP50%以上でダメ+8%/50%未満でダメ+16%。会心発生時、特殊「ファストトラック」自身のCTがさらに-1される(本ツールは会心前提のため常時適用、実装済み),,,,,,,,,,,,,,
roberta,basic,作戦開始,,0,0,1,0,FALSE,none,hasCT,0,20,FALSE,FALSE,FALSE,,"{""selfStackGain"": 1}"
roberta,special,ファストトラック,,2,1,0,1,FALSE,aoe,hasCT,30,0,FALSE,FALSE,FALSE,,"{""selfStackGain"": 1, ""selfCtReduceOnCritTrigger"": true}"
roberta,ultimate,緊急現場判断,,4,2,1,1,FALSE,none,hasCT,30,0,FALSE,FALSE,FALSE,,"{""selfBuff"": {""name"": ""攻撃力アップ（+30%）"", ""turns"": 2}, ""selfStackConsumeAll"": true}"
fei,passive,,戦闘開始時・ターン終了時に回避率+50%(常時回避50%)。回避成功時ATK+4%スタック(最大5)。特殊「月食（反撃）」は自身に必中1ターン付与・敵に75%で攻撃力ダウン付与(いずれも本ツール未対応)。究極「清風朗月」は冷却最大スタック時、防御力20%貫通(本ツール未対応、ダメージ計算非対応方針),,,,,,,,,,,,,,
fei,basic,月食,,0,0,1,0,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfStackGain"": 1, ""selfBuff"": {""name"": ""攻撃力アップ"", ""turns"": 1}, ""burstOnlySelfBuff"": true}"
fei,special,月食（反撃）,,0,1,0,0,FALSE,any,oncePerTurn,0,0,TRUE,FALSE,FALSE,,"{""selfStackGain"": 2}"
fei,ultimate,清風朗月,,4,2,1,1,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfBuff"": {""name"": ""攻撃力アップ（+30%）"", ""turns"": 2}, ""selfStackConsumeAll"": true}"
ede,passive,,防御力+15%(3凸)。戦闘開始時に自身へ1ターン守護＋バリアを発生(実装済み)。攻撃を受けた後、跳躍スタック+1(実装済み)。守護=味方の被ダメ30%肩代わり(本ツールはダメージ計算対象外のため参考情報)。究極「棘の墓」は自身がバリア状態ならダメ+20%(本ツール未対応、ダメージ計算非対応方針),,,,,,,,,,,,,,"{""battleStartSelfBuffs"": [{""name"": ""守護"", ""turns"": 1}, {""name"": ""バリア"", ""turns"": 1}], ""gainStackOnHit"": true}"
ede,basic,鋼鉄の雹,,0,0,1,0,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfStackGain"": 1, ""selfBuff"": {""name"": ""バリア（バースト時のみ）"", ""turns"": 1}, ""burstOnlySelfBuff"": true}"
ede,special,錐の鎧,,3,0,0,1,FALSE,none,hasCT,0,0,FALSE,TRUE,FALSE,,"{""selfBuff"": {""name"": ""バリア＋防御力アップ（+30%）"", ""turns"": 3}, ""extraTurnIfStackMaxConsumeAll"": true}"
ede,ultimate,棘の墓,,4,2,1,1,FALSE,none,hasCT,0,0,FALSE,FALSE,FALSE,,"{""selfBuff"": {""name"": ""守護"", ""turns"": 3}, ""targetEffect"": {""name"": ""命中率ダウン（-30%）"", ""turns"": 2}}"
