id,name,speed,toughnessMax,evasionRatePct,attribute,role,order
asera,アセラ,180,3,0,月,ストライカー,22
dress_asera,ドレスアセラ,180,3,0,秩序,サポーター,30
roberta,ロベルタ,180,3,0,星,ストライカー,11
fei,フェイ,180,3,50,月,アサシン,23
ede,エデ,180,3,0,星,ディフェンダー,12
emily,エミリー,180,3,0,月,ディフェンダー,24
kanelia,カネリア,180,3,0,混沌,キャスター,33
clarissa,クラリッサ,180,3,0,星,レンジャー,13
swimsuit_smile,水着スマイル,180,3,0,星,アサシン,15
smile,スマイル,180,3,0,星,レンジャー,14
seira,セイラ,180,3,0,秩序,ストライカー,31
ceres,セレス,180,3,0,月,ストライカー,25
tyria,ティリア,180,3,0,太陽,ストライカー,0
bunny_clare,バニークレア,180,3,0,月,ストライカー,26
bunny_charle,バニーシャルル,180,3,0,太陽,アサシン,1
luna,ルナ,180,3,0,秩序,キャスター,32
bride_epindel,花嫁エピンデル,180,3,0,太陽,キャスター,2
bride_carmen,花嫁カルメン,180,3,0,月,サポーター,27
bunny_scarlet,バニースカーレット,180,3,0,太陽,レンジャー,8
scarlet,スカーレット,180,3,0,太陽,ストライカー,9
christel,クリステル,180,3,0,太陽,レンジャー,10
vesta,ベスタ,180,3,0,星,ディフェンダー,21
swimsuit_luna,水着ルナ,180,3,0,太陽,ディフェンダー,3
marcille,マルシル,180,3,0,太陽,アサシン,4
charle,シャルル,180,3,0,太陽,ストライカー,5
trish,トリッシュ,180,3,0,星,アサシン,16
ru,ルー,180,3,0,月,レンジャー,28
petra,ペトラ,180,3,0,太陽,レンジャー,6
lacy,レイシー,180,3,0,混沌,レンジャー,34
tanya,ターニャ,180,3,0,星,ストライカー,17
kira,キラ,180,3,0,太陽,アサシン,7
belriese,ベル・リース,180,3,0,星,レンジャー,18
bunny_frey,バニーフレイ,180,3,0,月,キャスター,29
yanagi_mina,ヤナギ・ミナ,180,3,0,星,レンジャー,19
rosaria,ロザリア,180,3,0,混沌,レンジャー,35
rin,リン,180,3,0,星,ストライカー,20
custom,新規味方,180,3,0,太陽,ストライカー,
